Date,Close/Last,Volume,Open,High,Low
09/25/2020,61.23,81119700,57.535,61.78,56.525
09/24/2020,57.22,93759080,54.845,59.355,54.585
09/23/2020,56.395,101376860,61.925,62.075,55.855
09/22/2020,62.15,78766680,60.6,62.565,58.23
09/21/2020,58.93,93828700,55.615,58.975,54.05
09/18/2020,58.24,115760660,61.43,61.7249,55.381
09/17/2020,60.58,111711280,58.605,61.98,58.025
09/16/2020,63.505,76793320,67.265,67.66,63.295
09/15/2020,66.71,75222360,66.665,67.7102,65.48
09/14/2020,63.99,67258300,63.5,65.405,62.54
09/11/2020,60.855,96449460,63.5,64.095,58.405
09/10/2020,62.215,116484120,68.26,69.195,60.87
09/09/2020,66.035,72588080,64.515,67.6,62.835
09/08/2020,60.81,106706120,62.475,66.985,60.53
09/04/2020,70.82,140370220,72.69,75.15,61.93
09/03/2020,73.865,110756240,83.365,83.7,71.41
09/02/2020,87.265,72342440,87.74,87.835,82.3367
09/01/2020,84.87,48460040,82.96,84.985,81.475
08/31/2020,80.68,45099520,79.27,82.27,78.91
08/28/2020,78.855,49536340,78.645,79.3649,77.575
08/27/2020,77.655,75650500,79.29,79.935,75.79
08/26/2020,78.365,54915840,74.635,78.525,74.54
08/25/2020,73.65,43139260,71.415,73.725,71.035
08/24/2020,71.97,62845920,73.105,73.7795,70.22
08/21/2020,70.66,41070060,69.33,71.005,68.8975
08/20/2020,69.215,38193680,65.875,69.595,65.585
08/19/2020,66.48,51461800,67.794,68.605,66.145
08/18/2020,67.805,37328340,66.715,68.2001,65.645
08/17/2020,65.87,31666160,64.935,66.18,64.83
08/14/2020,63.765,49934400,64.33,64.595,62.705
08/13/2020,63.95,58570360,64.04,65.59,63.265
08/12/2020,63.505,55461060,60.55,64.18,60.55
08/11/2020,59.085,77568300,61.78,62.725,58.695
08/10/2020,62.64,63577760,63.635,63.805,60.084
08/07/2020,63.495,74176980,65.31,65.91,61.845
08/06/2020,65.64,48016000,63.055,65.965,62.61
08/05/2020,63.22,40740800,63.075,63.535,62.455
08/04/2020,62.72,52751960,61.66,62.81,61.17
08/03/2020,61.915,54467000,61.125,62.565,61.03
07/31/2020,59.69,90001200,59.66,59.75,56.4402
07/30/2020,56.635,75550040,54.45,56.985,53.68
07/29/2020,55.73,48570140,54.845,56.305,54.575
07/28/2020,53.895,59675640,55.54,55.855,53.685
07/27/2020,56,66905920,54.295,56.275,53.74
07/24/2020,53.145,89304660,52.255,54.08,50.505
07/23/2020,54.765,84162140,59.155,59.62,53.785
07/22/2020,59.42,56947260,59.085,60.065,57.825
07/21/2020,58.74,73920260,61.795,61.835,58.2
07/20/2020,60.68,62905360,56.4,61.115,55.545
07/17/2020,55.92,57750860,56.08,56.52,54.5
07/16/2020,55.66,74992900,55.02,56.18,53.495
07/15/2020,56.88,91885900,57.43,58.11,54.695
07/14/2020,56.6,114937700,53.795,56.86,51.695
07/13/2020,55.425,93646100,61.025,62.975,54.845
07/10/2020,59.075,60697340,57.71,59.225,55.945
07/09/2020,57.85,79399100,57.705,58.335,54.93
07/08/2020,56.44,59982840,55.215,56.47,54.245
07/07/2020,54.35,61524780,55.275,57.08,54.12
07/06/2020,55.44,52995920,53.65,55.7899,53.645
07/02/2020,51.645,57038040,52.145,52.935,51.37
07/01/2020,50.57,63034440,48.93,51.2349,48.62
06/30/2020,48.825,62847180,46.16,49.24,46.065
06/29/2020,46.17,64902320,44.605,46.215,43.14
06/26/2020,44.74,93985280,48.01,48.15,44.45
06/25/2020,48.205,75425820,46.955,48.36,45.37
06/24/2020,46.96,98205340,49.45,50.235,45.925
06/23/2020,49.9,58724580,49.685,51.31,49.33
06/22/2020,48.63,55033300,46.955,48.775,46.755
06/19/2020,46.96,72487500,48.485,48.615,45.98
06/18/2020,47.025,53196480,46.47,47.18,46.02
06/17/2020,46.665,64714540,47.085,47.73,46.2
06/16/2020,46.215,95804440,46.695,47.06,44.155
06/15/2020,43.895,99546220,40.54,44.34,40.03
06/12/2020,42.4,102969280,44.1448,44.8233,40.215
06/11/2020,41.5,95833000,46.29,47.105,41.41
06/10/2020,48.665,75727760,47.98,49.61,47.69
06/09/2020,46.97,53294880,45.445,47.49,45.3695
06/08/2020,45.945,54636120,44.795,46.04,43.9507
06/05/2020,44.945,70348580,42.95,45.2653,42.75
06/04/2020,42.43,66602100,43.115,43.94,41.6785
06/03/2020,43.31,53758360,43.075,43.745,42.605
06/02/2020,42.73,62678540,42.12,42.775,40.82
06/01/2020,41.895,52790580,41.0275,42.12,40.815
05/29/2020,41.385,89736820,40.02,41.66,39.16
05/28/2020,39.745,76306280,39.3,41.603,39.275
05/27/2020,40,86822740,39.055,40.02,36.69
05/26/2020,39.445,61300560,41.525,41.66,39.19
05/22/2020,39.61,52416240,39.045,39.745,38.525
05/21/2020,39.255,80673380,40.62,40.96,38.965
05/20/2020,40.5,71353980,39.605,40.755,39.605
05/19/2020,38.26,65357640,38.69,39.785,38.2
05/18/2020,38.555,74407540,38,39.1,37.61
05/15/2020,36.445,89451680,34.355,36.55,34.145
05/14/2020,35.83,100749800,34.02,35.845,33.055
05/13/2020,34.68,122779800,36.295,37.225,33.38
05/12/2020,36.045,84840820,38.735,39.065,36.015
05/11/2020,38.325,67345940,36.735,38.95,36.625
05/08/2020,37.395,65709220,36.775,37.475,36.26
05/07/2020,35.945,72372480,35.915,36.375,35.2825
05/06/2020,34.595,77970220,34.77,35.5625,34.1951
05/05/2020,33.925,72178660,33.865,35.1125,33.605
05/04/2020,32.875,50188900,31.2675,32.965,31.035
05/01/2020,31.755,86561360,32.66,33.655,31.25
04/30/2020,34.885,95136260,35.205,35.2345,33.9751
04/29/2020,34.655,86525940,33.525,35.185,33.045
